City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Luxor,Abeer Guest House,Joao,United Kingdom,1 night   ,Dec-24,Group,Deluxe Double or Twin Room,"December 26, 2024",house located east bank close residential area austin abeer friendly welcoming offer service pick airport handy since connection airport land operator company working might take h activate card using service get sim card close house fair prices also give tips around area breakfast delicious phone charging take pictures make sure miss chance try,negative feedback,No Negative Feedback,"The house is located in east bank close to a residential area. Austin and Abeer are friendly and welcoming. 

They offer a service to pick you up from the airport which is handy since you will not have connection at the airport. Once you land there is only 1 operator company working and it might take 1h to activate your card. By using their service you can get a SIM card more close to the house at fair prices. 

They also give you tips around the area and the breakfast is delicious. My phone was charging and I didn’t take any pictures of it. Make sure you don’t miss the chance to try!!!",1,"['breakfast delicious phone', 'east bank', 'service pick airport', 'card close house', 'austin abeer']",[],"['breakfast', 'service']",[]
Aswan,Ekadolli Nubian Guesthouse kerma hospitality,Ahmed,Egypt,1 night   ,January 2023,Family,Double or Twin Room,"January 28, 2023",nothing,cleanliness furniture food room location river view mentioned booking details,"Cleanliness
Furniture
Food
Room
Location (not river view as mentioned in booking details)",Nothing at all,0,[],"['mentioned', 'food', 'location river', 'booking details', 'cleanliness furniture']",[],"['location', 'food']"
Luxor,Steigenberger Nile Palace Luxor Convention Center,David,New Zealand,3 nights   ,September 2024,Couple,Classic Room City View King Bed,"October 7, 2024",place amazing pool fantastic,negative feedback,No Negative Feedback,The place is amazing the pool is fantastic.,1,"['place', 'amazing', 'fantastic', 'pool', 'pool fantastic']",[],['pool'],[]
Hurghada,Cordoba Suites,Mohamed,Germany,1 night   ,January 2023,Family,Deluxe Family Room,"January 17, 2023",conveniently located airport minutes restaurants shops etc clean spacious room shower room decent refrigerator microwave boiler easy check,covers bit old reception hs wifi signal dropped ground floor wish add amenities like disposable slippers room,"The covers are bit old. Reception is not 24hs. WIFI signal dropped in the ground floor. 

I wish they add some amenities like disposable slippers in the room.","Very conveniently located from the airport 10 minutes and restaurants, shops .. etc.
Clean and spacious room and shower. The room has decent refrigerator, a microwave and a boiler 
Easy check-in.",-1,"['microwave boiler easy', 'minutes restaurants shops', 'shower', 'located airport', 'room']","['24hs wifi signal', 'dropped ground floor', 'wish add amenities', 'room', 'covers bit old']",['room'],"['wifi', 'old', 'room']"
Aswan,Artika Wadi Kiki Hotel,Tracy,United Kingdom,1 night   ,July 2024,Solo traveler,Deluxe King Room,"July 21, 2024",exceptional unforgettable stay moment entered hotel everything wonderful staff wonderful especially young man reception offered us tours enjoyable visit pyramids egyptian museum alexandria white desert accompanied guide marwa met needs excellent experience enjoyable view rooftop top good especially bedouin tent loved everything recommend,negative feedback,No Negative Feedback,"We had an exceptional and unforgettable stay from the moment we entered the hotel, and everything was wonderful. All the staff were wonderful, especially the young man at the reception. They offered us tours that were very enjoyable to visit the pyramids, the Egyptian Museum, Alexandria, and the White Desert, accompanied by our guide (Marwa). He met all our needs and it was an excellent experience. Very enjoyable, and the view of the rooftop from the top was very good, especially the Bedouin tent. I loved everything there. I recommend it.",1,"['wonderful staff', 'good especially bedouin', 'pyramids egyptian museum', 'reception offered tours', 'moment entered hotel']",[],"['reception', 'hotel', 'staff']",[]
Luxor,Old Winter Apartment,Thomas,Austria,1 night   ,January 2025,Solo traveler,Two-Bedroom Apartment,"January 13, 2025",great host kept us safe stay provided reasonable priced guided tours egypt aswan abu simbel luxor cairo good food lunch provided hotel,negative feedback,No Negative Feedback,"Great host, kept us safe during our stay. Provided reasonable priced guided tours through Egypt ( Aswan, Abu Simbel, Luxor, and Cairo). Good food and lunch provided at hotel.",1,"['aswan abu simbel', 'luxor', 'safe stay provided', 'cairo good food', 'priced guided tours']",[],['food'],[]
Sharm El Sheikh,Pickalbatros Aqua Blu Sharm El Sheikh,Brian,Zimbabwe,6 nights   ,December 2024,Couple,Family Room (2 Adults + 3 Children),"December 22, 2024",everything,cleanliness bathrooms,Cleanliness in the bathrooms,Everything,-1,[],[],[],[]
Sharm El Sheikh,Pickalbatros Royal Moderna Sharm Aqua Park,Huzaifa,Tanzania,4 nights   ,December 2024,Family,Family Room,"December 13, 2024",staffs really friendly always smiling welcoming cleanliness extremely good attention minute details particularly cleanliness part outstanding,none,none,the staffs were really friendly and always smiling and welcoming. the cleanliness was extremely good. attention to minute details particularly on the cleanliness part was outstanding.,-1,"['minute details particularly', 'smiling', 'welcoming', 'staffs', 'cleanliness extremely good']",[],[],[]
Aswan,NUB INN,Racha,Lebanon,3 nights   ,November 2024,Group,Economy Double Room,"November 24, 2024",pictures justice beautiful location serene calm staff extremely welcoming quick help highly rexcomend,negative feedback,No Negative Feedback,The pictures don’t do it justice. Beautiful location. Very serene and calm. The staff is extremely welcoming and very quick to help. Highly rexcomend!,1,"['justice beautiful', 'help highly', 'pictures don', 'rexcomend', 'staff extremely welcoming']",[],['staff'],[]
Luxor,Full Moon House,Andrew,United States,3 nights   ,Apr-24,Couple,One-Bedroom Apartment,"April 11, 2024",property beautiful right nile everything clean balcony huge rooftop nice well good breakfast hosts nice accommodating would definitely refer place,n,N/a,"The property was beautiful, right on the Nile. Everything was clean the balcony was huge. Rooftop was nice as well. They had a good breakfast and the hosts were nice and accommodating . Would definitely refer this place !",-1,"['place', 'nile', 'good breakfast', 'nice accommodating definitely', 'clean balcony']",[],"['nile', 'breakfast', 'clean']",[]
Luxor,Morning Star Apartment,Linglin,China,2 nights   ,February 2025,Family,Two-Bedroom Apartment,"February 12, 2025",comments available review,negative feedback,No Negative Feedback,There are no comments available for this review,1,"['available', 'review', 'comments', 'comments available', 'available review']",[],[],[]
Hurghada,KaiSol Romance Resort Sahl Hasheesh Adults,Anastasiia,Ireland,5 nights   ,December 2024,Group,Deluxe Room with Sea View,"January 9, 2025",peaceful nice place holiday staff really good pleasant special thanks emad helpful sorted issues quickly,think rooms need refreshed generally hotel clean would great organise big deep cleaning especially bathrooms,I think the rooms need to be refreshed. Generally the hotel is clean but would be great to organise a big deep cleaning especially in bathrooms.,"Very peaceful and nice place for a holiday. The staff was really good and pleasant, special thanks to Emad, he was so helpful and he sorted out all my issues very quickly.",-1,"['special thanks', 'peaceful', 'staff really', 'emad helpful sorted', 'place holiday']","['great', 'need refreshed', 'bathrooms', 'deep cleaning especially', 'hotel']",['staff'],['hotel']
Sharm El Sheikh,Jaz Belvedere Resort,Mohamoud,Italy,1 night   ,February 2025,Family,Superior Queen or Twin Beds Sea View,"February 7, 2025",every thing great,nothing,Nothing,Every Thing Was great,1,[],[],[],[]
Hurghada,Pickalbatros White Beach Resort Hurghada,Shadi,Egypt,3 nights   ,January 2025,Family,Special offer -Large Family Room - Egyptians & residents only,"January 28, 2025",everything beautiful,nothing,Nothing,Everything is beautiful,1,[],[],[],[]
Hurghada,Beach Albatros Aqua Park Hurghada,Misbah,United Kingdom,7 nights   ,January 2025,Family,Deluxe Double or Twin Room with Garden View,"January 25, 2025",perfect family resort stay look well unlimited drinks pool heated pools close together restaurants good definitely recommend going la marche l asiatique different buffets everyday tasty rooms tidy cute balconies sea view amazing expect view beautiful also water sport activities didnt time using hotel facilities didnt feel like getting pool went family every room perfect us couple family cater well enough beds upto people one room would highly recommend garden view room closest pool overall family friendly aqua park fun also kids club drop child couple hours go relax right around corner kids pool slides etc surfing area much fun thanks reception manager mustafa zakaria granting request checkout thanks hotel staff making rooms everyday serving us around resort,spa prices could reasonable uk negotiate lot haggle lot actual resort problems excellent stay,"Spa prices could be more reasonable as they are more than the uk but they negotiate a lot so haggle with them a lot

The actual resort has no problems it was an excellent stay!","Perfect family resort to stay at. They look after you very well. Unlimited drinks by the pool, heated pools and its all close together. Restaurants where good. Definitely recommend going to La marche and L'Asiatique. They have different buffets everyday and is so tasty. Rooms are tidy with cute balconies. We had the sea view, it was amazing! We did not expect the view to be that beautiful. They also have water sport activities which we didnt have time for as we were using the hotel facilities and didnt feel like getting out the pool. We went as a family and every room was perfect for us all. For a couple to a family of 4. They cater very well for you with enough beds upto 3/4 people in one room. Would highly recommend the garden view room as its closest to the pool. Overall very family friendly the Aqua park was so fun and they also had a kids club where you can drop your child off for a couple hours and go relax and right around the corner from there is a kids pool with slides etc and a surfing area which was so much fun.

Thanks to our reception manager Mustafa Zakaria for granting our request during checkout and thanks to the hotel staff for making our rooms everyday and serving us around the resort.",-1,"['time using hotel', 'pool went family', 'restaurants good definitely', 'family room perfect', 'aqua park']","['problems excellent stay', 'uk negotiate', 'prices', 'lot actual resort', 'spa']","['pool', 'hotel', 'room']",[]
